Pressure,Temperature
8,1700
7.95,1690
7.9,1680
7.85,1670
7.8,1660
7.75,1650
7.7,1640
7.65,1630
7.6,1620
7.55,1610
7.5,1600
7.45,1590
7.4,1580
7.35,1570
7.3,1560
7.25,1550
7.2,1540
7.15,1530
7.1,1520
7.05,1510
7,1500
6.95,1490
6.9,1480
6.85,1470
6.8,1460
6.75,1450
6.7,1440
6.65,1430
6.6,1420
6.55,1410
6.5,1400
6.45,1390
6.4,1380
6.35,1370
6.3,1360
6.25,1350
6.2,1340
6.15,1330
6.1,1320
6.05,1310
6,1300
5.95,1290
5.9,1280
5.85,1270
5.8,1260
5.75,1250
5.7,1240
5.65,1230
5.6,1220
5.55,1210
5.5,1200
5.45,1190
5.4,1180
5.35,1170
5.3,1160
5.25,1150
5.2,1140
5.15,1130
5.1,1120
5.05,1110
5,1100
4.95,1090
4.9,1080
4.85,1070
4.8,1060
4.75,1050
4.7,1040
4.65,1030
4.6,1020
4.55,1010
4.5,1000
4.45,990
4.4,980
4.35,970
4.3,960
4.25,950
4.2,940
4.15,930
4.1,920
4.05,910
4,900
3.95,890
3.9,880
3.85,870
3.8,860
3.75,850
3.7,840
3.65,830
3.6,820
3.55,810
3.5,800
3.45,790
3.4,780
3.35,770
3.3,760
3.25,750
3.2,740
3.15,730
3.1,720
3.05,710
3,700
