Pressure(Kbar),Temperature,Compname,fO2 BG104,liq,Cr-sp,ol,plg,cpx,low-Ca px,SiO2_g,TiO2_g,Al2O3_g,Cr2O3_g,FeO_g,MnO_g,MgO_g,CaO_g,Na2O_g,K2O_g,P2O5_g,Total_g,SiO2_Pl,TiO2_Pl,Al2O3_Pl,Cr2O3_Pl,FeO_Pl,MnO_Pl,MgO_Pl,CaO_Pl,Na2O_Pl,K2O_Pl
3,1260,HAL-X-01A,-6.87,1.000,0.000,0.00,0.00,0.00,0.00,49.84,0.66,15.86,0.39,8.80,0.17,10.12,13.57,1.50,0.07,0.22,101.20,0,0,0,0.00,0,0.00,0,0,0,0
3,1240,HAL-X-01A,-6.95,0.986,0.004,0.010,0.00,0.00,0.00,49.69,0.66,15.96,0.07,8.87,0.17,9.79,13.84,1.52,0.07,0.13,100.77,0,0,0,0.00,0,0.00,0,0,0,0
3,1220,HAL-X-01A,-7.32,0.979,0.002,0.019,0.00,0.00,0.00,50.15,0.67,16.35,0.06,8.40,0.16,9.44,13.69,1.46,0.07,0.15,100.60,0,0,0,0.00,0,0.00,0,0,0,0
3,1200,HAL-X-01A,-7.46,0.728,0.00,0.047,0.121,0.103,0.00,50.37,0.87,16.07,0.03,9.86,0.16,8.43,12.83,1.70,0.09,0.19,100.61,48.04,0.04,32.63,0.00,0.95,0.00,0.46,16.69,2.05,0.02
3,1180,HAL-X-01A,-7.49,0.532,0.00,0.060,0.212,0.195,0.00,49.47,1.09,15.58,0.02,12.60,0.27,7.56,11.63,1.84,0.13,0.18,100.36,48.70,0.05,31.68,0.00,1.43,0.00,0.53,15.91,2.48,0.04
3,1160,HAL-X-01A,-7.37,0.453,0.00,0.065,0.239,0.243,0.00,49.91,1.21,15.44,0.02,13.10,0.22,6.95,11.06,2.03,0.16,0.16,100.25,48.75,0.05,32.20,0.00,1.30,0.00,0.30,15.80,2.70,0.04
3,1140,HAL-X-01A,-7.41,0.176,0.00,0.019,0.376,0.328,0.101,48.92,1.53,15.09,0.01,13.65,0.27,6.55,10.28,2.26,0.24,0.41,99.20,49.69,0.09,31.29,0.00,1.56,0.00,0.27,14.98,3.34,0.06
3,1180,HAL-X-02A,-7.52,0.711,0.00,0.00,0.130,0.159,0.00,49.48,1.01,15.51,0.01,11.88,0.19,7.74,11.46,1.83,0.12,0.12,99.22,48.64,0.06,31.50,0.00,1.34,0.00,0.43,15.57,2.26,0.02
3,1160,HAL-X-02A,-7.56,0.488,0.00,0.00,0.244,0.241,0.028,48.70,1.29,14.77,0.00,14.17,0.18,6.93,10.73,1.92,0.16,0.12,98.86,49.75,0.09,29.91,0.00,1.81,0.00,0.59,14.73,2.97,0.04
3,1140,HAL-X-02A,-7.77,0.322,0.00,0.00,0.326,0.294,0.057,48.19,1.76,13.64,0.00,16.02,0.24,6.08,10.03,1.89,0.22,0.17,98.07,49.96,0.12,29.50,0.00,2.10,0.00,0.55,13.86,3.39,0.06
3,1260,HAL-X-01A,0.00,1.000,0.00,0.00,0.00,0.00,0.00,49.60,0.68,15.85,0.10,8.64,0.16,10.14,13.39,1.45,0.07,0.09,100.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1240,HAL-X-01A,0.00,0.989,0.00,0.011,0.00,0.00,0.00,49.53,0.67,16.01,0.08,8.69,0.18,9.74,13.62,1.50,0.08,0.07,100.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1220,HAL-X-01A,0.00,0.891,0.00,0.045,0.064,0.00,0.00,49.90,0.71,15.58,0.09,8.58,0.19,9.06,13.80,1.49,0.09,0.09,99.46,47.20,0.02,32.00,0.00,0.42,0.00,0.32,16.84,1.85,0.02
